Track,Player,Placement,GP Number
Mario Circuit,Matthew,3,10
Peach Stadium,Tom,1,10
Peach Stadium,Callum,2,10
Peach Stadium,Connor,3,10
Peach Stadium,Matthew,4,10
Peach Beach,Tom,6,10
Peach Beach,Callum,1,10
Peach Beach,Connor,2,10
Peach Beach,Matthew,3,10
DK Spaceport,Tom,1,10
DK Spaceport,Callum,4,10
DK Spaceport,Connor,5,10
DK Spaceport,Matthew,2,10
Acorn Heights,Tom,4,10
Acorn Heights,Callum,2,10
Acorn Heights,Connor,1,10
Acorn Heights,Matthew,3,10
Choco Mountain,Tom,3,10
Choco Mountain,Callum,7,10
Choco Mountain,Connor,5,10
Choco Mountain,Matthew,4,10
Shy Guy Bazaar,Tom,1,10
Shy Guy Bazaar,Callum,3,10
Shy Guy Bazaar,Connor,4,10
Shy Guy Bazaar,Matthew,5,10
Salty Salty Speedway,Tom,3,10
Salty Salty Speedway,Callum,1,10
Salty Salty Speedway,Connor,9,10
Salty Salty Speedway,Matthew,2,10
Mario Bros. Circuit,Tom,11,10
Mario Bros. Circuit,Callum,2,10
Mario Bros. Circuit,Connor,1,10
Mario Bros. Circuit,Matthew,12,10
Starview Peak,Tom,4,10
Starview Peak,Callum,2,10
Starview Peak,Connor,1,10
Starview Peak,Matthew,6,10
Toad's Factory,Tom,3,10
Toad's Factory,Callum,7,10
Toad's Factory,Connor,1,10
Toad's Factory,Matthew,2,10
Airship Fortress,Tom,3,10
Airship Fortress,Callum,2,10
Airship Fortress,Connor,1,10
Airship Fortress,Matthew,5,10
Cheep Cheep Falls,Tom,6,11
Cheep Cheep Falls,Callum,3,11
Cheep Cheep Falls,Connor,2,11
Cheep Cheep Falls,Matthew,1,11
Mario Circuit,Tom,1,11
Mario Circuit,Callum,5,11
Mario Circuit,Connor,4,11
Mario Circuit,Matthew,11,11
DK Spaceport,Tom,2,11
DK Spaceport,Callum,4,11
DK Spaceport,Connor,3,11
DK Spaceport,Matthew,1,11
Choco Mountain,Tom,1,11
Choco Mountain,Callum,3,11
Choco Mountain,Connor,5,11
Choco Mountain,Matthew,6,11
Desert Hills,Tom,2,11
Desert Hills,Callum,1,11
Desert Hills,Connor,6,11
Desert Hills,Matthew,3,11
Mario Bros. Circuit,Tom,5,11
Mario Bros. Circuit,Callum,2,11
Mario Bros. Circuit,Connor,7,11
Mario Bros. Circuit,Matthew,1,11
Salty Salty Speedway,Tom,1,11
Salty Salty Speedway,Callum,2,11
Salty Salty Speedway,Connor,4,11
Salty Salty Speedway,Matthew,3,11
Wario Stadium,Tom,2,11
Wario Stadium,Callum,3,11
Wario Stadium,Connor,1,11
Wario Stadium,Matthew,5,11
Shy Guy Bazaar,Tom,1,11
Shy Guy Bazaar,Callum,3,11
Shy Guy Bazaar,Connor,6,11
Shy Guy Bazaar,Matthew,2,11
Airship Fortress,Tom,4,11
Airship Fortress,Callum,1,11
Airship Fortress,Connor,2,11
Airship Fortress,Matthew,6,11
Boo Cinema,Tom,4,11
Boo Cinema,Callum,3,11
Boo Cinema,Connor,1,11
Boo Cinema,Matthew,6,11
Crown City,Tom,1,11
Crown City,Callum,2,11
Crown City,Connor,5,11
Crown City,Matthew,6,11
Koopa Troopa Beach,Tom,3,11
Koopa Troopa Beach,Callum,2,11
Koopa Troopa Beach,Connor,1,11
Koopa Troopa Beach,Matthew,4,11
DK Pass,Tom,4,11
DK Pass,Callum,1,11
DK Pass,Connor,3,11
DK Pass,Matthew,2,11
Moo Moo Meadows,Tom,1,11
Moo Moo Meadows,Callum,3,11
Moo Moo Meadows,Connor,5,11
Moo Moo Meadows,Matthew,2,11
Dry Bones Burnout,Tom,2,11
Dry Bones Burnout,Callum,9,11
Dry Bones Burnout,Connor,5,11
Dry Bones Burnout,Matthew,1,11
Shy Guy Bazaar,Tom,2,12
Shy Guy Bazaar,Callum,1,12
Shy Guy Bazaar,Connor,3,12
Shy Guy Bazaar,Matthew,4,12
Sky-High Sundae,Tom,4,12
Sky-High Sundae,Callum,2,12
Sky-High Sundae,Connor,6,12
Sky-High Sundae,Matthew,1,12
Wario's Galleon,Tom,5,12
Wario's Galleon,Callum,7,12
Wario's Galleon,Connor,1,12
Wario's Galleon,Matthew,2,12
Dino Dino Jungle,Tom,1,12
Dino Dino Jungle,Callum,2,12
Dino Dino Jungle,Connor,3,12
Dino Dino Jungle,Matthew,5,12
Great ? Block Ruins,Tom,2,12
Great ? Block Ruins,Callum,1,12
Great ? Block Ruins,Connor,8,12
Great ? Block Ruins,Matthew,6,12
Bowser's Castle,Tom,1,12
Bowser's Castle,Callum,4,12
Bowser's Castle,Connor,2,12
Bowser's Castle,Matthew,3,12
Choco Mountain,Tom,6,12
Choco Mountain,Callum,2,12
Choco Mountain,Connor,1,12
Choco Mountain,Matthew,5,12
Mario Circuit,Tom,5,12
Mario Circuit,Callum,3,12
Mario Circuit,Connor,2,12
Mario Circuit,Matthew,1,12
Whistlestop Summit,Tom,2,12
Whistlestop Summit,Callum,1,12
Whistlestop Summit,Connor,3,12
Whistlestop Summit,Matthew,4,12
Wario Stadium,Tom,9,12
Wario Stadium,Callum,1,12
Wario Stadium,Connor,3,12
Wario Stadium,Matthew,2,12
Cheep Cheep Falls,Tom,7,12
Cheep Cheep Falls,Callum,3,12
Cheep Cheep Falls,Connor,2,12
Cheep Cheep Falls,Matthew,1,12
Boo Cinema,Tom,1,12
Boo Cinema,Callum,2,12
Boo Cinema,Connor,3,12
Boo Cinema,Matthew,4,12
DK Spaceport,Tom,2,12
DK Spaceport,Callum,1,12
DK Spaceport,Connor,3,12
DK Spaceport,Matthew,5,12
Peach Beach,Tom,3,12
Peach Beach,Callum,4,12
Peach Beach,Connor,2,12
Peach Beach,Matthew,1,12
Salty Salty Speedway,Tom,2,12
Salty Salty Speedway,Callum,3,12
Salty Salty Speedway,Connor,1,12
Salty Salty Speedway,Matthew,5,12
Toad's Factory,Tom,2,12
Toad's Factory,Callum,3,12
Toad's Factory,Connor,4,12
Toad's Factory,Matthew,1,12
Faraway Oasis,Tom,2,13
Faraway Oasis,Callum,3,13
Faraway Oasis,Connor,1,13
Faraway Oasis,Matthew,6,13
Moo Moo Meadows,Tom,4,13
Moo Moo Meadows,Callum,3,13
Moo Moo Meadows,Connor,2,13
Moo Moo Meadows,Matthew,1,13
Mario Circuit,Tom,4,13
Mario Circuit,Callum,5,13
Mario Circuit,Connor,1,13
Mario Circuit,Matthew,3,13
Dandelion Depths,Tom,2,13
Dandelion Depths,Callum,3,13
Dandelion Depths,Connor,1,13
Dandelion Depths,Matthew,5,13
Choco Mountain,Tom,2,13
Choco Mountain,Callum,5,13
Choco Mountain,Connor,1,13
Choco Mountain,Matthew,3,13
Mario Bros. Circuit,Tom,1,13
Mario Bros. Circuit,Callum,5,13
Mario Bros. Circuit,Connor,4,13
Mario Bros. Circuit,Matthew,2,13
Great ? Block Ruins,Tom,2,13
Great ? Block Ruins,Callum,4,13
Great ? Block Ruins,Connor,5,13
Great ? Block Ruins,Matthew,6,13
Koopa Troopa Beach,Tom,3,13
Koopa Troopa Beach,Callum,2,13
Koopa Troopa Beach,Connor,1,13
Koopa Troopa Beach,Matthew,6,13
Peach Stadium,Tom,1,13
Peach Stadium,Callum,5,13
Peach Stadium,Connor,2,13
Peach Stadium,Matthew,3,13
Sky-High Sundae,Tom,3,13
Sky-High Sundae,Callum,1,13
Sky-High Sundae,Connor,5,13
Sky-High Sundae,Matthew,2,13
Wario's Galleon,Tom,3,13
Wario's Galleon,Callum,2,13
Wario's Galleon,Connor,4,13
Wario's Galleon,Matthew,5,13
Shy Guy Bazaar,Tom,4,13
Shy Guy Bazaar,Callum,1,13
Shy Guy Bazaar,Connor,6,13
Shy Guy Bazaar,Matthew,5,13
Boo Cinema,Tom,2,13
Boo Cinema,Callum,1,13
Boo Cinema,Connor,5,13
Boo Cinema,Matthew,4,13
Dry Bones Burnout,Tom,8,13
Dry Bones Burnout,Callum,2,13
Dry Bones Burnout,Connor,1,13
Dry Bones Burnout,Matthew,4,13
DK Pass,Tom,6,13
DK Pass,Callum,3,13
DK Pass,Connor,1,13
DK Pass,Matthew,4,13
Whistlestop Summit,Tom,4,13
Whistlestop Summit,Callum,3,13
Whistlestop Summit,Connor,2,13
Whistlestop Summit,Matthew,1,13
Desert Hills,Tom,4,14
Desert Hills,Callum,1,14
Desert Hills,Connor,3,14
Desert Hills,Matthew,2,14
Koopa Troopa Beach,Tom,3,14
Koopa Troopa Beach,Callum,4,14
Koopa Troopa Beach,Connor,2,14
Koopa Troopa Beach,Matthew,1,14
Moo Moo Meadows,Tom,4,14
Moo Moo Meadows,Callum,1,14
Moo Moo Meadows,Connor,3,14
Moo Moo Meadows,Matthew,5,14
Whistlestop Summit,Tom,3,14
Whistlestop Summit,Callum,4,14
Whistlestop Summit,Connor,1,14
Whistlestop Summit,Matthew,2,14
Mario Circuit,Tom,1,14
Mario Circuit,Callum,4,14
Mario Circuit,Connor,3,14
Mario Circuit,Matthew,8,14
DK Spaceport,Tom,4,14
DK Spaceport,Callum,1,14
DK Spaceport,Connor,3,14
DK Spaceport,Matthew,2,14
Dry Bones Burnout,Tom,13,14
Dry Bones Burnout,Callum,1,14
Dry Bones Burnout,Connor,2,14
Dry Bones Burnout,Matthew,5,14
Wario's Galleon,Tom,4,14
Wario's Galleon,Callum,3,14
Wario's Galleon,Connor,1,14
Wario's Galleon,Matthew,2,14
Dandelion Depths,Tom,2,14
Dandelion Depths,Callum,3,14
Dandelion Depths,Connor,6,14
Dandelion Depths,Matthew,1,14
Crown City,Tom,1,14
Crown City,Callum,2,14
Crown City,Connor,6,14
Crown City,Matthew,4,14
Airship Fortress,Tom,5,14
Airship Fortress,Callum,3,14
Airship Fortress,Connor,1,14
Airship Fortress,Matthew,2,14
Sky-High Sundae,Tom,2,14
Sky-High Sundae,Callum,5,14
Sky-High Sundae,Connor,1,14
Sky-High Sundae,Matthew,6,14
Dino Dino Jungle,Tom,4,14
Dino Dino Jungle,Callum,1,14
Dino Dino Jungle,Connor,3,14
Dino Dino Jungle,Matthew,2,14
Shy Guy Bazaar,Tom,5,14
Shy Guy Bazaar,Callum,1,14
Shy Guy Bazaar,Connor,3,14
Shy Guy Bazaar,Matthew,2,14
Peach Stadium,Tom,5,14
Peach Stadium,Callum,3,14
Peach Stadium,Connor,1,14
Peach Stadium,Matthew,2,14
Rainbow Road,Tom,1,14
Rainbow Road,Callum,2,14
Rainbow Road,Connor,3,14
Rainbow Road,Matthew,6,14
Cheep Cheep Falls,Tom,3,15
Cheep Cheep Falls,Callum,2,15
Cheep Cheep Falls,Connor,6,15
Cheep Cheep Falls,Matthew,1,15
Whistlestop Summit,Tom,3,15
Whistlestop Summit,Callum,4,15
Whistlestop Summit,Connor,5,15
Whistlestop Summit,Matthew,1,15
Dry Bones Burnout,Tom,2,15
Dry Bones Burnout,Callum,1,15
Dry Bones Burnout,Connor,3,15
Dry Bones Burnout,Matthew,6,15
Dino Dino Jungle,Tom,2,15
Dino Dino Jungle,Callum,1,15
Dino Dino Jungle,Connor,3,15
Dino Dino Jungle,Matthew,4,15
Choco Mountain,Tom,1,15
Choco Mountain,Callum,4,15
Choco Mountain,Connor,3,15
Choco Mountain,Matthew,7,15
Great ? Block Ruins,Tom,2,15
Great ? Block Ruins,Callum,1,15
Great ? Block Ruins,Connor,5,15
Great ? Block Ruins,Matthew,6,15
DK Spaceport,Tom,1,15
DK Spaceport,Callum,2,15
DK Spaceport,Connor,4,15
DK Spaceport,Matthew,6,15
Airship Fortress,Tom,2,15
Airship Fortress,Callum,5,15
Airship Fortress,Connor,1,15
Airship Fortress,Matthew,3,15
Dandelion Depths,Tom,1,15
Dandelion Depths,Callum,3,15
Dandelion Depths,Connor,5,15
Dandelion Depths,Matthew,4,15
Crown City,Tom,1,15
Crown City,Callum,3,15
Crown City,Connor,4,15
Crown City,Matthew,2,15
Mario Circuit,Tom,5,15
Mario Circuit,Callum,4,15
Mario Circuit,Connor,6,15
Mario Circuit,Matthew,1,15
Starview Peak,Tom,1,15
Starview Peak,Callum,4,15
Starview Peak,Connor,2,15
Starview Peak,Matthew,3,15
Peach Beach,Tom,2,15
Peach Beach,Callum,4,15
Peach Beach,Connor,3,15
Peach Beach,Matthew,1,15
Acorn Heights,Tom,1,15
Acorn Heights,Callum,2,15
Acorn Heights,Connor,7,15
Acorn Heights,Matthew,3,15
Wario Stadium,Tom,2,15
Wario Stadium,Callum,1,15
Wario Stadium,Connor,6,15
Wario Stadium,Matthew,5,15
Boo Cinema,Tom,1,15
Boo Cinema,Callum,3,15
Boo Cinema,Connor,4,15
Boo Cinema,Matthew,2,15
DK Pass,Tom,2,16
DK Pass,Callum,1,16
DK Pass,Connor,4,16
DK Pass,Matthew,5,16
Mario Circuit,Tom,4,16
Mario Circuit,Callum,3,16
